name,scientific_name,family,chemical_content,usability
Adas,Foeniculum vulgare,Aplaceae,"Minyak asiri (oleum foenucul), 50-60% anetol, 20% fenkon, pinen, limonen, dipenten, felandren, metilchavikol, anasaldehid, asam anisat, 12% minyak lemak. Stigmasterin (pada akar dan biji)","Kesehatan jantung, melancarkan ASI, mencegah kanker, mengatasi gangguan menstruasi dan menopause"
Air Kelapa Hijau,Cocos nucifera,Aracaceae,"Vitamin A, Vitamin B1, Vitamin B2, Vitamin B3, Asam Pantotenat, Vitamin B6, Folat, Vitamin C, Vitamin E, Vitamin K, Kalsium, Besi, Magnesium, Fosfor, Kalium, Zink","Mengatasi diare, melancarkan pencernaan, menghidrasi tubuh, detoksifikasi racun."
Asam Jawa,Tamarindus indica,Fabaceae,polifenol,"Memperlancar pencernaan, mengontrol diabetes, mengurangi nyeri,  menjaga kesehatan jantung"
Bawang Merah,Allium cepa,Amaryllidaceae,enzim alliinase,"mengatasi vertigo, bisul, batuk kronis, batuk kering, batuk sesak, disentri, sembelit, insomnia, pilek untuk anak-anak dan bayi, dan kencing manis (diabetes mellitus)."
Bawang Putih,Allium sativum,Alliaceae,"Senyawa belerang allicin (dapat menghasilkan senyawa belerang lain: ajoene, allyl polysulfides, dan vinyldithiin), zat aktif S-allylcysteine","Mengatasi cacingan, menurunkan tekanan darah dan kolesterol, mencegah kanker dan pilek"
Belimbing Wuluh,Averrhoa bilimbi,Oxalidaceae,"saponin, flavonoid, tanin, glukosida, asam sitrat, asam format","mengobati gondongan, infeksi gigitan serangga, penyakit diabetes, tekanan darah, wasir, jerawat, batuk pilek, dan penyakit menular seksual"
Kemangi,Ocimum africanum,Lamiaceae,"Tanin, flavonoid, steroid/tritwrpwnoid, minyak atsiri, asam heksauronat, pentosa, xitosa, asam metil homoanisat, molludistin, asam ursolat","mengatasi insomnia, sakit kepala, melancarkan sirkulasi darah, menurunkan kadar gula darah, menyembuhkan luka dan infeksi, anti radang, "
Brotowali,Tinospora cordifolia,Menispermaceae,"pada kulit batang: alkaloid dan damar, pada akar: berberin dan kolumbin, pikroretin","obat sakit perut, rheumatic arthritis dan sendi, demam, kencing manis, malaria, memar, kudis, dan luka."
Buah Maja,Aegle marmelos,Rutaceae,"minyak asiri, pektin, saponin, tanin, dan2-furocoumanrins-psoralen","mengobati diare, disentri, darah tinggi, mual dan muntah berlebihan saat kehamilan, anemia, asma"
Buah Pisang Batu,Musa Balbisiana,Musaceae,"steroid/triterpenoid, glikosida, flavonoid, saponin, tanin","meredakan demam, mengatasi maag, wasir, dan diare"
Cabe Jawa,Piper retrofractum,Piperaceae,"asam amino bebas, damar, minyak atsiri, beberapa jenis alkaloid seperti piperine, piperidin, piperatin, piperlonguminine, ?-sitosterol, sylvatine, guineensine, piperlongumine, filfiline, sitosterol, methyl piperate, minyak atsiri (terpenoid), n-oktanol, linalool, terpinil asetat, sitronelil asetat, sitral,  alkaloid, saponin, polifenol, dan resin (kavisin)","mengatasi sakit paru-paru, batuk, sakit lambung, ayan, gangguan pencernaan, sakit gigi, diare, muntah, dan disentri"
Lidah Buaya,Aloe vera,Xanthorrhoeaceae,"manan terasetilasi, polimanan, antrakuinon C-glukosida, emodin, lektin","meredakan heartburn, mempercepat penyembuhan luka, menurunkan gula darah, melancarkan sembelit, menyembuhkan sariawan, merawat kulit dan mencegah keriput"
Daun Jambu Biji,Psidium guajava,Myrtaceae,"asam psidiolat, asam ursolat, asam kategonal, asam oleanolat, asam guajavolat, asam krategolat, guajaverin, isokuersetin, hiperin, flavonol, tanin, kasuarinin, dan kuersetin","mengatasi diare, kanker lambung, menurunkan kolesterol, mencegah diabetes tipe 2"
Daun Jarak Pagar,Jatropha curcas,Euphorbiaceae,"pada daun dan batang: saponin, flavonoid, tanin, dan polifenol, pada biji: alkaloid, saponin, dan kursin","mengobati masuk angin, rematik, luka, gatal-gatal, kadas, kurap, meyuburkan rambut"
Daun Ketepeng Kebo,Senna alata,Fabaceae,"alkaloida, saponin, flavonoid, tanin, dan antrakinon","mengatasi panu, kadas, kurap, gatal-gatal, dan sembelit"
Daun Pegagan,Centella asiatica,Mackinlayaceae,"asiaticoside, thankuniside, isothankuniside, madecassoside, brahmoside, brahmic acis, brahminoside, madasiatic acid, meso-inositol, centelloside, carotenoids, hydrocotylin, vellarine, tanin, dan garam mineral","mengurangi gangguan kecemasan, menyamarkan stretchmark, menyembuhkan luka, meredakan sakit persendian"
Daun Pepaya,Carica papaya,Caricaceae,"carposide, zat papain","menurunkan resiko kanker, anti malaria, mengobati cacingan, disentri, diare, mencegah demam berdarah, dan meningkatkan kekebalan tubuh."
Daun Sambiloto,Andrographis paniculata,Acanthaceae,"deoksi-andrografolid, andrografolid, neoandrografolid, 12 didehidroandrografolid, dan homoandrografolid","meringankan gejala pilek, mencegah kanker, meningkatkan sistem kekebalan tubuh"
Daun Seledri,Apium graveolens,Aplaceae,"minyak asiri, butilftalida, flavonoid, fenol, apiin, isokuersitrin,furanokumarin, serta isoimperatorin, asam petroselin, steroid","menurunkan tekanan darah, meringankan nyeri sendi, mencegah kanker, menjaga kesehatan pencernaan, membantu menurunkan berat badan"
Daun Sendok,Plaganto major,plantaginaceae,"flavonoid, polifenol, tanin, asam sitrat","mengatasi peradangan, mempercepat proses penyembuhan luka, menghambat pertumbuhan sel kanker, melancarkan sistem pencernaan"
Jahe Merah,Zingiber officinalle Roxb ver Rubrum,Zingiberaccae,"Rimpang  seneol, berneol, sitra, minyak atsiri","Rimpang  Sinotis, perada kencang, penambah vitalitas tubuh. Mampu mengurangi kadar kolesterol tubuh. Memiliki Zat Flavonoid yang mampu mengatasi rematik. Membantu terhindar dari risiki penyakit jantung. Mengurangi risiki terkena radang usus dan baik bagi Kesehatan lambung dan pencernaan"
Jeruk Nipis,Citrus aurantifolia,Rutaceae,"Minyak atsiri, hesperidin, aurantiamarin, limonen, linalin asetat, geranil asetat, fellandren, sitral, dan asam sitrat","Mengobati amandel, malaria, ambelon, sesak napas, influenza, batuk, sakit panas, sembelit, terlambat haid, perut mulas saat haid, disentri, mual, lelah, bau badan dan keriput wajah.
Daun: menjaga kesehatan rongga mulut, mempercepat penyembuhan luka pada kulit, mengatasi gangguan pernapasan, mengurangi nyeri akibat reumatik, mengatasi diare, mengatasi rasa mual dan kembung https://www.idntimes.com/health/fitness/eka-amira/manfaat-daun-jeruk-nipis-exp-c1c2/6
Buah: meremajakan kulit, melancarkan pencernaan, meningkatkan sistem kekebalan tubuh, membantu menurunkan berat badan, menjaga kadar gula darah, mengurangi risiko penyakit jantung, menurunkan risiko kanker, mengatasi peradangan, mencegah dehidrasi https://hellosehat.com/hidup-sehat/fakta-unik/8-manfaat-air-jeruk-nipis-bagi-kesehatan/#gref"
Kayu Manis/Keningan,Cinnamomum burnami Nes Ex BI,Lauraceae,"Kulit batang  minyak atsiri 1-3%, tannin, damar, lender, kalsium oksanat","Kulit batang dan daun muda  Obat batuk, peluruh kentut. Kaya antioksidan yang berfungsi melindungi tubuh dari kerusakan oksidatif yang disebabkan oleh radikal bebas. Memiliki sifat anti-inflamaasi yang membantu tubuh melawan infeksi dan memperbaiki kerusakan jaringan. Menurunkan risiko penyakit jantung. Menurunkan kadar gula darah dan memiliki efek anti diabetes.
Kulit batang: baik untuk diet, kaya akan anti oksidan yang berguna untuk mengurangi kerusakan dalam tubuh akibat radikal bebas, mencegah penuaan dini, menjaga kesehatan jantung, mencegah diabetes, anti inflamasi, dan mengurangi nyeri rematik. https://www.halodoc.com/artikel/inilah-8-manfaat-kayu-manis-untuk-kesehatan
Minyak atsiri dalam daun kayu manis: anti inflamasi, antioksidan, mencegah virus influenza. https://www.swadayaonline.com/artikel/6737/Khasiat-Minyak-Daun-Kayu-Manis-Sebagai-Pelega-Pernafasan/"
Kayu Putih,Melaleuca leucodendra L,Myrtaceae,"Daun  Minyak atsiri (sineol, pinen, limonene, dipenten)","Daun dan biji  Obat batuk (meredakan masalah pernafasan), masuk angin, perut sembelit. Mengobati sakit kepala. Memiliki efek relaksasi pada sistem saraf yang mampu menghilangkan rasa nyeri. Mencegah infeksi pada luka. Mengobati sinusitis non-bakteri. Mengurangi risiko kejang dan pingsan. 
(Gadipake) Minyak atsiri pada daun: meredakan batuk, membersihkan dada dari dahak, meredakan gigitan serangga, mengobati kula dan mencegah infeksi, melegakan pernafasan, dan membantu meredakan nyeri sendi. https://health.detik.com/berita-detikhealth/d-5159766/8-manfaat-minyak-kayu-putih-untuk-kesehatan"
Kedawung,Parkia timoriana,Fabaceae,Biji - vitamin C dan karbohidrat,"Biji kedawung tua sering digunakan untuk mengobati penyakit kolik dan juga sebagai bahan campuran obat kolera. Khasiatnya lainnya yang paling terlihat adalah sebagai anti-bakteria, dan digunakan dalam pengobatan tradisional untukinfeksidan gangguanperut."
Kelembak,Hyssopus officinalis,Polygonaceae,"anthraglycosides, tannin, kalsium oksalat, damar, mineral","akar: dapat melawan bakteri yang menyebabkan sariawan, antidiarrheal, pencahar, untuk mengobati konjungtivis, pendarahan, gangguan pencernaan, sakit kuning, gangguan menstruasi, dan cedera traumatic. https://health.detik.com/obat/d-1342854/herbal-klembak"
Kembang Lawang/Pekak,Illicium verum,Illiciaceae,"minyak atsiri (anetol 85-90%), tanin dan flavonoida","Kembang lawang ini baik untuk mengatasi gangguan pencernaan dan memiliki fungsidiuretikatau melancarkan saluran kencing. Selain itu digunakan juga untuk pengobatan tradisional di Asia, contohnya untuk sakit sendi. Teh dari bunga lawang juga bisa dijadikan obat batuk. Minyaknya juga bisa mengurangi gejala mual-mual bagi ibu yang sedang mengandung. Kandungan asam shikimat (shikimic acid) dalam bunga lawang membuat rempah ini dimanfaatkan sebagai bahan utama pembuat obat antiflu burung,tamiflu. minyak atsiri (anetol 85-90%), tanin dan flavonoida yang dapat bersifat antibakteri. Minyak atsiri atau minyak esential dapat digunakan dalam bidang kesehatan digunakan sebagai antimikroba, antioksidan dan antikanker."
Kemukus,Piper cubebaL,Piperaceae,"Buah  Zat pedas piperine, acids, tetrahidropiperic acids, piperidine minyak atsiri, sesamin","Buah  Sakit ulu hati, munta, diare, disentri, sakit kepala, sakit gigi, hidung berlendir. Akar  memperbaiki pencernaan, fungsi ginjal lemah. Mengobati sesak napas, asma, dan flu. Mencegah keputihan pada wanita. Anti inflamasi alami mampu meredakan radang di tubuh. Melancarkan saluran kemih. "
Kencur,Koempreferia galanga L,Zingiberaceae,Rimpang  minyak atsiri,"Rimpang  Obat batuk, penambah nafsu makan, balur kaselio. Mencegah penyakit kanker. Mengobati penyakit akibat bakteri dan infeksi jamur. Mengobati kencing batu. Mengobati diare. Mengobati masuk angin dan flu. Mengatasi muntah-muntah. Menurunkan kadar kolesterol tubuh. "
Kunyit/Kunir,Curcuma domestica L,Zingiberaceae,"Rimpang  minyak atsiri (termeron, zingberen, sesquiterpen, alcohol), zat pahit, lemak, Vitamin C","Rimpang  Panas dalam, anti biotik, sakit maag. Menghalangi sel kanker. Antioksidan yang kuat dapat memerangi radikal bebas akibat kanker. Menurunkan risiko Alzheimer. Sebagai Anti inflamasi (anti-peradangan). Pereda nyeri osteoarthritis. Pereda gangguan pencernaan dan mulas. "
Labu Putih/Beligo,Benincasa hispida,Cucurbitaceae,"Fosfor (P), Kalium (K), Kalsium (Ca), Natrium (Na), Seng (Zn), Retinol (vit A), Riboflavin (vitamin B2, Serat, Tiamina (vitamin B1), Vitamin C","Mencegah resiko terjadinya hipertensi, Membantu kesehatan kulit, Mendukung fungsi otak, Mencegah resiko terbentuknya batu ginjal, Menunjang kelancaran pencernaan, Mencegah terjadinya penyakit gangguan pernafasan, Membantu keseimbangan cairan tubuh"
Landep,Parleria prionitis Linn,Acanthaceae,"Daun  polifenol, flavonoida","Daun  Rheumatic, encok, kudis. Mengatasi busung lapar (honger oedema). Mengatasi sakit perut. Menyembuhkan demam. Mengatasi penyakit cacingan. Menurunkan risiko penyakit vascular. Menurunkan berat badan khususnya pada orang dewasa yang lebih tua"
Lempuyang Gajah,Zingiber littorale Val,Zingiberaceae,"Rimpang  minyak atsiri, jijerol,  resin pati, gula","Rimpang  mengurangi rasa nyeri, pembersih darah, Pereda kejang. Ramuan rimpang sebagai obat pelangsing, penambah nafsu makan (stomakik), penghangat badan, obat pusing, obat disentri, dan membantu mengeluarkan gas (karminatif) pada perut kembung. Senyawa utama zerumbon yang diisolasi dari lempuyang gajah menunjukkan potensi sebagai anti kanker leher rahim. Memilki sifat analgesik yang artinya dapat medakan sakit kepala. Memilki sifat analgesik yang artinya dapat medakan sakit kepala. Mengatasi bakteri Bacillus subtilis, yang tak lain merupakan bakteri penyebab penyakit seperti endokarditis, infeksi mata, dan meningitis."
Lempuyang Wangi,Zingiber aromaticum Vall,Zingiberaceae,"Rimpang  minyak atsiri 0,5% mengandung zerubon, humolen, limonene","Rimpang  mengurangi rasa nyeri, pembersih darah penambah nafsu makan, Pereda kejang. Manfaat lempuyang yang satu ini utamanya untuk mengatasi bakteri Bacillus subtilis, yang tak lain merupakan bakteri penyebab penyakit seperti endokarditis, infeksi mata, dan meningitis. Menurunkan kadar gula darah. Mencegah kanker.Mengobati gatal-gatal akibat alergi. Mengobati penyakit lambung. Mengatasi penuaan dini"
Lengkuas/Laos,Languas galanga L,Zingiberaceae,Rimpang  minyak atsiri,"Rimpang  penambah vitalitas tubuh, rematik, encok. Meningkatkan kesuburan pria. Menyembuhkan asma. Mencegah kanker dan tumor. Menurunkan kadar kolesterol tubuh. Menurunkan demam. Menyembuhkan batuk dan brokitis. Meningkatkan nafsu makan. Mengatasi penyakit campak. Mengobati sakit limpa"
Meniran,Phyllanthus niruri Linn,Euphosbiaceae,"Herba  filantin, tanin, niranti, filokrisina, kuersitin, hipofilantin, nirurin, dan kalium","Herba  peluruh air seni, batu ginjal, asam urat, rematik sakit kuning, malaria, demam, ayan, batuk, rabun senja, susah kencing disertai sakit pinggang, luka bakar, luka koreng, jerawat, mengurangi haid berlebih, dan mengatasi disentri"
Mengkudu,Morinda citrifolia L.,Rubiaceae,"Buah  mytl-esetil eter, asam kapril, soranyidiol, morindadiol, moridin alizarin, moridone, damnacanthal","Buah  peluruh dahak, tekanan darah tinggi, pencegah kehamilan, radang lambung, malaria, radang ginja Daun -  mulas, radang, amandel, difteri, masuk angin, beri  beri"
Kemiri,Aleurites molucana Will,Euphobiaceae,Minyak lemak,"Daun: bermanfaat sebagai obat sakit kelenjar, mengandung sifat antivirus atau antibakteri, jika direbus berfungsi sebagai obat sakit kepala, serta dapat dijadikam tapal pada bagian tubuh yang mengalami pembengkakan atau memar. Buah: sebagai perawatan rambut, mengurangi risiko penyakit jantung, minyaknya dapat meringankan infeksi jamur pada kulit, meningkatkan system pencernaan"
Patikan Cina,Euphorbia prostate Ait,Euphorbiaceae,"Herba  tannin, damar, tarakserol, tirukarol, mirisilalkohol, apigetrin, stigmasterin","Herba: mengobati wasir, mengobati peradangan usus, sakit perut dan diare "
Pulasari,Alyxia spec,Apocynaceae,"Kulit batang  alkaloida, tannin, zat, pahit","Kulit batang  sakit batuk, demam, keputihan, melancarkan haid, sariawan, dan penambah selera makan. "
Pule ,Alstonia scholaris L.R Br,Apocynaceae,"Kulit batang  alkaloida, ekitamin, ekitania, alsonia, ekserina, ekitina, ekiterina, ditamina","Kulit batang  malaria, penambah nafsu makan
Tonik dari pohon pule dapat digunakan sebagai penurun demam, membantu memulihkan system pencernaan, hingga menyembuhkan penyakit kulit, 
Ekstrak Pohon: mengatasi menstruasi yang tidak teratur, obat diare
Kulit kayu sebagai pewarna alami kuning
Bunga: sebagai minyak esensial dengan aroma menenangkan."
Secang,Caesalpinia sappan L,Fabaceae,"Asam galat, tannin, resin, resorsin, brasilin, brasilein, d-alfa-phellandrene, oscimene, dan minyak atsiri","obat diare, disentri, TBC, luka dalam, sifilis, darah kotor, muntah darah, berak darah, luka berdarah, malaria, tetanus, tumor, dan radang selaput lender mata"
Saga Manis,Abrus precatorus L,Papilionaceae,"Protein, vitamin (A, B1, B6, dan C), kalsium oksalta, glisirizin, flisirizinat, saponin, falovonoid, polifenol, polygalacturomic acid, dan pentosan","obat amandel, sariawan, batuk, dan radang mata"
Sirih Hijau,Piper betle Linn,Piperaceae,"Minyak atsiri, saponin, flavonoid, dan polifenol","obat sakit mata, sakit, gigi, eksim, bau mulut, kulit gatal, menghilangkan jerawat, mimisan, bronchitis, batuk, sariawan, keputihan, sakit jantung, sifilis, biduran, dan diare"
Sirih Merah,Piper crocatum Ruiz & Pav,Piperaceae,"Flavonoid, alkaloid, senyawa polevonolad, tanin, dan minyak atsiri","Diabetes, kanker, asam urat, hipertensi, gurah kewanitaan, liver, ambeien, dan peradangan organ tubuh"
Tanaman Pepaya,Carica papaya L,Caricaceae,"Daun  papain, pseudokarpain, alkoloida, glukosa, karposida, saponin","Daun  terkena racun jengkel/singkong, malaria, perut mulas, menambah nafsu makan, dan encok.
Akar dan biji  obat cacingan
Getah  ginjal, kandungan kencing sakit, kanker, kelumpuhan, digigit ular berbisa"
Temulawak,Curcuma xanthorrizia Roxb,Ziniberaceae,"Kurkumin, minyak atsiri, dan minyak terbang","Sakit perut, penambah nafsu makan, dan liver"
Temu Giring,Curcuma heyniana Vill & Zijp,Zingiberaceae,minyak atsiri,obat sakit perut dan cacingan 
Temu Kunci,Boesenbergia  pandurata Roxb,Zingiberaceae,"minyak atsiri, damar, zat pati",anti diare
Temu Putih,Curcuma zedoaria,Zingiberaceae,"Minyak atsiri, sineol, kamfena, borneol, kamfer, curcumin, curcumemone, curcumol, curdione, zedoarin, gum, resin, sesquiterpenol.","Mengatasi memar,dispepsia, perut kembung,  menambah nafsu makan, melancarkan peredaran darah, TBC, asma, radang saluran pernafasan, mencegah tumor, dan jantung koroner"
